"inst_cat","institutioncode","catalognumber","key","eventdate","latitude","longitude","name","collectioncode","source"
"mlz_22886","mlz","22886","269c4ad1-237d-4d4f-8c6a-c8816e232513","1934-09-01/1934-09-30","39.473586","-118.851503","butorides virescens","bird specimens","idigbio"
"mmnh_20729","mmnh","20729","26bb5b5b-03d7-4c94-9441-6ff701c25c4a","1962-01-23",NA,NA,"butorides virescens","bird","idigbio"
"nysm_zo-7936","nysm","zo-7936","279169bc-e77c-49dc-972a-1911ff468ae3","1921-05-04","41.146324","-72.290293","butorides virescens","zo","idigbio"
"dmns_2449","dmns","2449","279e8fb0-92fd-47f5-93d1-1b0635cdc342","1897-05-08",NA,NA,"butorides virescens","bird eggs/nests","idigbio"
"wfvz_205514","wfvz","205514","27aa9e48-42ac-4423-a37f-314b98ec1bcb","1897-05-16",NA,NA,"butorides virescens","eggs","idigbio"
"nysm_zo-10120","nysm","zo-10120","2823afc9-023a-46fd-9948-b9669199c901","1950-10-04",NA,NA,"butorides virescens","zo","idigbio"
"tcwc_12880","tcwc","12880","2859d05c-9bf8-4eae-b5e8-4cb9e0ae663e","1981-07-20",NA,NA,"butorides virescens","birds","idigbio"
"msb_18096","msb","18096","287286ea-9999-43f7-8ada-6c30f443c612","1970-07-07",NA,NA,"butorides virescens","bird specimens","idigbio"
"wfvz_205534","wfvz","205534","28760629-56df-4ce4-be66-d4fbc7191384","1922-06-11",NA,NA,"butorides virescens","eggs","idigbio"
"mlz_9757","mlz","9757","2884edb0-db29-4c3e-b38f-0cf922af745b","1933-09-28","25.458424","-108.079763","butorides virescens","bird specimens","idigbio"
"psm_bird-11999","psm","bird-11999","28b8bb31-d722-46e7-b9d1-ab68a5ef1b12","1894-05-01","44.3050694","-69.9769954","butorides virescens","bird","idigbio"
"ohio state university - bird division, columbus, oh (osum)_osum birds e 4353","ohio state university - bird division, columbus, oh (osum)","osum birds e 4353","2944331a-7b79-42ae-a8a9-a8fde095424f",NA,"40.8424","-83.3044","butorides virescens","birds","idigbio"
"psm_bird-11868","psm","bird-11868","2a454e36-2142-411f-8570-71f70e332f1b","1909-06-27","31.7231903","-110.1884308","butorides virescens","bird","idigbio"
"omnh_12066.0","omnh","12066.0","2a7716ac-5ede-404f-ba9a-16f4eb03f41d","1973-01-05",NA,NA,"butorides virescens","birds","idigbio"
"mmnh_20028","mmnh","20028","2a934cb7-f854-49d9-bf85-1b340001ea5e","1961-12-19",NA,NA,"butorides virescens","bird","idigbio"
"ypm_ypm orn 117501","ypm","ypm orn 117501","2aaba1e5-3157-4080-b8dc-9c08053e67c2",NA,"41.7667","-73.7","butorides virescens","vz","idigbio"
"ncsm_12525","ncsm","12525","2ab06e6e-6940-4577-a47f-40c6b3ad075f",NA,NA,NA,"butorides virescens","ncsm-birds","idigbio"
"dmnh_74421","dmnh","74421","2ac6f10e-e999-4a3e-88f7-de00d1a98c7b","1983-03-08","30.6000938","-84.2871093","butorides virescens","bird","idigbio"
"sbmnh_337","sbmnh","337","2b024f0d-965c-4a65-a3fc-6863d8ae8bb9","1961-05","35.0680556","-120.6083333","butorides virescens","av","idigbio"
"msb_24324","msb","24324","2b5cb601-6731-48f7-be75-28e53739e4ec","8888-03-21",NA,NA,"butorides virescens","bird specimens","idigbio"
"omnh_13840.0","omnh","13840.0","2b7d6dfa-a1ed-45b9-8b8a-91b57b77382d","1938-09-08","35.06991","-97.45101","butorides virescens","birds","idigbio"
